2.424366E-07,1.03242E-16,1.322483E-29,0.01086564,0.8021731,0.7795948,0,0,0,0.1057466,0.3814663,0.3836514,0.007234944,6.53658E-12,0,0,0,0,0.1902244,0.1044007,0.02141996,0.0215454,0.0001805641,0.004939314,0.06722916,6.498656E-25,0.01086564,0.01086564,0.25671,0.2048512,0.01086564,0.01086564,0.7063073,0.7286392,0,0.001264295,0,1.535554E-38,0,0,1.217406E-40,3.41076E-42,0.1201275,0.1458099,0.2402174,0.2334464,0.1898775,0.2126249,1.401298E-45,1.401298E-45,0.02984797,0.4575215,0.4527716,6.506252E-05,0,0.01086564,9.198502E-21,0.0001542791,0.02040001,0.03950607,0.05319155,0.421583,0.4038692,Happy
0.4209765,0.3393051,1.606314E-29,1.401298E-45,0.09467687,0.03840181,0,0,0.1017133,0.06621873,1.401298E-45,1.401298E-45,2.238854E-11,5.642213E-26,0,0,0,0,0.2098379,0.1241202,0.01884748,0.01897258,0.2933502,0.243528,0.01086564,0.01086564,1.565008E-18,1.401298E-45,0.006978097,0.02032771,0.5002182,0.4631316,1.401298E-45,1.401298E-45,0,0.02705964,0,0.02702247,0,0,4.365525E-11,1.67275E-08,0.06816046,0.07855724,1.401298E-45,1.401298E-45,0.009775069,1.401298E-45,0.01576679,0.007815586,0.02267668,1.401298E-45,1.401298E-45,1.401298E-45,0.0001127343,1.401298E-45,1.401298E-45,0.00602611,0.0207543,0.1090795,0.07037143,1.401298E-45,0.002668669,Sad
0.915467,0.8950842,6.465304E-22,0.002481116,0.1657819,0.1161373,0,0,0.01186946,0.01782308,1.401298E-45,1.401298E-45,0.1112734,0.07320347,0,0,0,0,0.1628524,0.07602276,0.2975886,0.2990023,0.1203941,0.1185328,5.072017E-05,0.010851,0.01079305,1.163486E-21,0.3974035,0.457599,0.08716513,0.09137663,1.637461E-27,1.271425E-27,1.209831E-20,0.01086564,1.462083E-20,0.01086564,8.243869E-26,7.890529E-26,0.05614372,0.05664736,0.01081797,0.003097495,7.448033E-34,1.151532E-20,0.008833239,1.161689E-20,0.1346748,0.1068012,0.02126115,1.401298E-45,1.401298E-45,0.0003462366,6.126661E-26,0.01131958,0.02004099,6.411975E-22,6.367666E-22,0.1803172,0.2589335,1.089247E-20,0.006427071,Mad
0.2541894,0.2289902,0.01086564,0.01086564,0.08064012,0.05073861,0,0,5.82461E-36,0.02716411,1.401298E-45,1.401298E-45,1.401298E-45,1.132249E-42,0,1.125243E-42,0,0,0.2082559,0.1224978,0,0,0.09722854,0.2055389,0.2900435,0.01086564,0.01086564,0.07480095,0.0004794552,0.1836844,0.02350734,0.01086564,1.401298E-45,1.401298E-45,0.009378168,0.1119574,0.01056256,0.1127803,1.401298E-45,1.401298E-45,0.1667829,0.1667728,1.401298E-45,1.401298E-45,3.201336E-06,1.401298E-45,0.01086564,1.401298E-45,0.07069814,0.05266282,0.05566209,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.296822E-36,0.1220552,0.1065802,0.6031733,0.6469292,1.401298E-45,3.443065E-19,Anxious
0.04559553,0.02311441,1.401298E-45,1.401298E-45,0.4530241,0.4401055,0,0,0.01086564,0.02145696,0.1743276,0.1805349,6.934189E-20,2.522337E-44,0,0,0,0,0.216241,0.1305212,0.06558567,0.06603768,0.01505117,0.001278782,0.02951739,1.401298E-45,0.01086564,0.002896158,0.06973749,0.004985657,0.01086577,0.009303351,0.3703171,0.3933199,1.401298E-45,4.961437E-41,1.401298E-45,4.937896E-41,1.401298E-45,1.401298E-45,5.362496E-23,7.203235E-40,0.02716411,0.02716411,0.1929506,0.1329314,0.1544043,0.1097591,1.401298E-45,1.401298E-45,0.0525009,1.401298E-45,1.780647E-39,0.01086564,9.62655E-08,0.001958696,1.401298E-45,0.02155399,0.008146622,0.07020235,0.159615,0.1671524,0.1677853,Happy
0.7041835,0.6344225,1.758912E-28,1.401298E-45,0.1282431,0.06759961,0,0,0.1323413,0.09364849,1.401298E-45,1.401298E-45,1.264948E-29,1.681558E-44,0,0,0,0,0.1557534,0.06967609,0.1032221,0.1036846,0.6121662,0.5712197,0.01086564,0.01086564,0.01086564,0.002484233,0.002289376,0.001537435,0.5640133,0.5378226,1.401298E-45,1.401298E-45,1.401298E-45,0.02810818,1.401298E-45,0.02716414,1.401298E-45,1.401298E-45,0.01395494,0.02106984,0.06564662,0.0766097,1.401298E-45,1.401298E-45,7.70768E-05,1.401298E-45,0.06821066,0.05690957,0.02306834,1.401298E-45,1.401298E-45,1.982385E-14,0.002386977,1.401298E-45,2.047467E-13,0.2721166,0.2388971,0.4555342,0.5208578,1.401298E-45,5.941294E-28,Sad
0.391682,0.397504,3.309324E-18,9.467919E-19,0.1534323,0.104729,0,0,4.663495E-30,0.06555925,1.401298E-45,1.904351E-34,7.176801E-11,0,7.176801E-11,2.312767E-25,0,0,0.2054983,0.1197597,0,0,0.0003733417,7.636349E-05,0.3919285,4.515808E-30,9.877816E-21,0.04184902,0.2112317,0.1098709,0.0309018,0.02137889,6.829038E-30,1.904351E-34,3.030342E-30,7.921418E-05,1.990702E-30,4.843927E-18,1.325841E-31,1.325841E-31,0.007389139,6.699647E-18,1.187189E-30,0.01086564,0.02727036,1.904351E-34,0.02727387,9.775838E-30,1.059962E-21,6.567441E-16,0.03311381,3.919405E-18,2.705613E-17,7.521318E-30,1.401298E-45,1.088653E-05,4.860383E-11,0.0006690487,0.000687888,0.216025,0.3515853,1.886274E-05,0.01078727,Mad
0.00372421,0.02762788,0.01086564,0.01086564,0.06824267,0.05498537,0,0,3.487308E-31,0.02714135,6.790286E-32,7.033246E-33,1.305899E-37,0,1.663859E-37,3.579602E-38,0,0,0.2292207,0.1435282,0,0,7.670297E-07,7.817438E-07,0.2907805,0.01086563,0.01086456,0.07347387,0.004023385,0.04031725,0.01631169,0.01086564,4.608649E-29,4.015615E-29,0.007314918,0.1023347,0.007202587,0.101975,7.603654E-28,7.895275E-28,0.1170886,0.1250396,4.98276E-27,1.149856E-20,0.001271801,3.011162E-27,0.01086564,2.115719E-27,0.0292612,0.02298143,0.03798359,0.0004914998,0.008579081,5.510088E-28,4.001144E-28,1.401298E-45,1.004121E-26,0.04858183,0.03516985,0.625752,0.5409228,1.915123E-29,1.672689E-08,Anxious
0.01182834,0.03559289,1.401298E-45,1.401298E-45,0.306141,0.29549,0,0,1.401298E-45,0.01637214,0.09731551,0.102157,1.896942E-08,0,1.896942E-08,2.340677E-15,0,0,0.2263877,0.1407441,0,0,1.285957E-31,1.310626E-31,0.01086564,1.401298E-45,0.00696908,0.0002178558,0.0003856549,0.003622843,0.01086564,0.001636954,0.2838924,0.2963573,1.401298E-45,8.27747E-42,1.401298E-45,6.447374E-42,1.401298E-45,1.401298E-45,1.09035E-41,1.559925E-41,0.02716411,0.02716395,0.130944,0.1025079,0.09623151,0.08327898,1.401298E-45,1.401298E-45,0.03440761,2.94396E-40,2.463142E-39,0.009359965,1.401298E-45,2.274986E-25,1.401298E-45,7.579479E-24,9.427707E-26,1.401298E-45,0.02086324,0.1491609,0.1363099,Happy
0.5619279,0.5512358,0.01079565,2.401077E-30,0.1241663,0.07888705,0,0,0.2370777,0.1955711,3.052778E-34,1.998167E-34,7.396305E-12,0,7.396329E-12,2.439686E-17,0,0,0.1931885,0.1073783,0,0,0.2745307,0.258317,0.02951117,0.01086564,0.01086564,0.002650925,0.08230447,0.1812911,0.7995703,0.7736407,1.863429E-36,1.655482E-36,1.401298E-45,0.03802576,1.401298E-45,0.03532917,1.401298E-45,1.401298E-45,0.01086564,0.02490353,0.1080307,0.1228817,5.225093E-36,0.001101883,0.01081592,3.836648E-35,0.04467449,0.03799993,0.03375709,1.401298E-45,1.401298E-45,0.00023808,0.009350806,2.580889E-33,0.01062356,5.220631E-06,0.004684182,0.01791635,0.09900181,1.246492E-36,1.350276E-32,Sad
0.4862314,0.4665947,1.029236E-16,9.507848E-20,0.2894232,0.2137835,0,0,0.0291865,0.1448874,8.030173E-32,0.001610966,0.02133332,1.301692E-16,0,0,0,0,0.1796729,0.09368733,0.1078413,0.1084273,0.007521565,0.002221564,0.2895656,5.380001E-13,0.01049765,0.02205069,0.443753,0.229301,0.162458,0.1358524,2.585124E-31,8.128273E-36,1.401298E-45,0.002620332,1.401298E-45,6.734049E-13,2.832349E-14,2.092003E-14,0.01086564,0.0003418655,0.01086564,0.01086565,0.08650987,1.447084E-14,0.08771507,4.283565E-14,3.022375E-07,3.725933E-13,0.03795932,1.508237E-39,2.850623E-25,0.01074088,3.447075E-15,0.3420271,0.2984585,4.894307E-18,4.116752E-18,0.1879866,0.2787683,0.1022987,0.07527597,Mad
0.2674891,0.2506234,1.743215E-42,4.203895E-45,0.1335031,0.0951967,4.441126E-34,0,0.07003812,0.07852559,9.418274E-21,1.382301E-14,0.001692197,1.401298E-45,0.001692193,0,0,0,0.2406368,0.1551138,0,0,0.1166763,0.08966409,0.2602516,5.431018E-29,3.77047E-12,0.02340701,0.05089768,0.06068313,0.08538365,0.05361285,3.984897E-21,1.059452E-09,1.401298E-45,2.044765E-29,1.401298E-45,1.401298E-45,0.009925285,0.009925295,0.01102458,0.01099612,0.01086564,0.001076324,0.2896239,0.02282198,0.2894773,0.02740221,9.949839E-05,2.270952E-09,0.1939892,5.605194E-45,4.203895E-45,0.01086564,0.00709905,1.962557E-19,4.673311E-09,2.050467E-07,0.01483042,0.0502598,0.2804762,0.01217042,0.01738538,Anxious
1.558626E-06,2.299367E-06,1.134998E-08,1.205842E-05,0.1520363,0.1380364,1.401298E-45,0,2.810429E-06,0.1184308,0.1230446,0.1331703,0.05535708,0.05737387,0,0,0,0,0.1224669,0.03629134,0.09792271,0.0982317,0.07096968,0.09447961,0.1080922,1.401298E-45,0.0005174936,0.02181041,0.06551795,0.01979962,0.007831206,1.852037E-08,0.0395043,0.03814799,1.401298E-45,6.602275E-09,7.589512E-08,1.970538E-07,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,0.01273223,0.01616377,0.07933636,0.01359255,0.05860204,0.01101652,1.401298E-45,1.401298E-45,0.02758384,0.05386643,0.03808945,0.0006724094,1.401298E-45,0.0003320714,0.0002773496,0.08958621,0.0952483,1.112408E-05,8.909274E-06,0.1875318,0.1986219,Happy
0.3426794,0.2088949,0.004379901,4.925893E-25,0.1118211,0.04189622,1.401298E-45,0,0.2656433,0.2152551,4.210552E-34,5.323145E-34,3.983117E-07,0,3.983117E-07,1.518648E-27,0,0,0.4201085,0.3361312,0,0,0.4333816,0.3446209,0.04806425,0.01086564,0.01086564,0.01576624,0.07176136,3.968758E-17,0.7631922,0.7382462,2.681936E-34,4.998768E-34,1.401298E-45,0.02689622,1.401298E-45,0.02289185,1.401298E-45,1.401298E-45,0.02977603,0.03703281,0.08735593,0.09902955,0.0001036472,0.0011068,0.01084612,1.961375E-31,0.07992631,0.06744507,0.05212379,2.249217E-29,2.640793E-29,0.002485698,0.009500968,1.350485E-19,0.001646315,0.2108554,0.1770671,0.5681747,0.2178559,6.138195E-34,5.220444E-33,Sad
